company,amount_raised,round,investors_participated,date_announced,website,description,city,official_sector,secondary_sector,tertiary_sector,SIREN
Mistral AI,468000000,Series B,"Andreessen Horowitz, Belfius Bank, Bertelsmann Investments, BNP Paribas, Bpifrance, Cisco Systems, DST Global, Eurazeo, General Catalyst, Hanwha Asset Management, Headline, IBM Ventures, Korelya Capital, Latitude, Lightspeed Venture Partners, Millennium New Horizons, NVIDIA, Salesforce Ventures, Samsung Venture Investment, Sanabil, ServiceNow Ventures, SV Angel",2024-06-11,https://mistral.ai,"Mistral AI operates in sectors such as artificial intelligence, foundational ai, and generative ai, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,952418325
Electra,304000000,Series B,"574 Invest, Bpifrance, Eurazeo, PGGM Investments, Rive Private Investment, Serena",2024-01-15,https://www.go-electra.com,"Electra operates in sectors such as automotive, charging infrastructure, and electric vehicle, providing products and services that leverage its expertise in these areas.",Paris,Mobility,,,891624884
HR Path,250000000,Growth Equity,,,http://hr-path.com/,HR Path is a company providing innovative solutions in its industry.,,Other,,,513144766
H Company,220000000,Seed,"Accel, Aglaé Ventures, Amazon, Antoine Fabre, Bernard Arnault, Bpifrance Large Venture, Creandum, Elaia, Eric Schmidt, Eurazeo, Financiere Saint James, FirstMark, Motier Ventures, Samsung NEXT, Samsung Ventures, Serena, UiPath, Visionaries Club, Xavier Niel, Yuri Milner",2024-05-07,https://www.hcompany.ai,"H Company operates in sectors such as analytics, artificial intelligence, and data management, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,927528471
HysetCo,200000000,Series A,"Air Liquide, Eiffel Investment Group, Hy24, Kouros, RAISE Impact, TotalEnergies, Toyota Finance",2024-04-10,https://www.hysetco.com,"HysetCo operates in sectors such as energy management, environmental consulting, and service industry, providing products and services that leverage its expertise in these areas.",Saint-denis,CleanTech,Energy,,834275570
Alan,173000000,Series F,"Belfius Bank, Coatue, Lakestar, Teachers’ Venture Growth, Temasek Holdings",2024-09-20,https://alan.com,"Alan operates in sectors such as financial services, health care, and health insurance, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,FinTech,InsurTech,818353070
Pigment,145000000,Series D,"Felix Capital, Greenoaks, ICONIQ Growth, IVP, Meritech Capital Partners, Sandberg Bernthal Venture Partners",2024-04-04,https://gopigment.com,"Pigment operates in sectors such as analytics, business development, and information technology, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,852785914
Newcleo,135000000,Series A,"Club degli Investitori, Inarcassa, Ingerop, Walter Tosto",2024-09-30,https://www.newcleo.com/,"Newcleo operates in sectors such as clean energy, energy, and energy management, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,912522240
Newcleo,135000000,Series A,"Azimut Group, Exor Ventures, LIFTT, Walter Tosto, Ingérop, Inarcassa",2024-05-14,https://www.newcleo.com/,"Newcleo operates in sectors such as clean energy, energy, and energy management, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,912522240
Akur8,120000000,Series C,"Guidewire Software, One Peak, Partners Group",2024-09-16,http://www.akur8.com,"Akur8 operates in sectors such as financial services, fintech, and insurance, providing products and services that leverage its expertise in these areas.",Paris,InsurTech,FinTech,,12531113
Elyse Energy,120000000,Growth Equity,"Bpifrance, Hy24, Mirova, PGGM Investments",2024-12-05,https://elyse.energy/en/,Elyse Energy is a company specializing in manufacturing solutions.,Lyon,Hardware,Energy,,889749198
Unseenlabs,85000000,Series C,"360 Capital, Bpifrance, Breizh Up, ISALT, Omnes Capital, S2G Investments, Supernova Invest, Unexo",2024-02-26,https://unseenlabs.space,"Unseenlabs operates in sectors such as aerospace, marine technology, and security, providing products and services that leverage its expertise in these areas.",Rennes,SpaceTech & Aerospace,,,811856376
ChapsVision,85000000,Series C,"Bpifrance, GENEO Capital Entrepreneur, Jolt Capital, Qualium Investissement, Tikehau Capital",2024-11-18,https://www.chapsvision.fr/,"ChapsVision operates in sectors such as cyber security, information technology, and software, providing products and services that leverage its expertise in these areas.",Suresnes,Cybersecurity,,,851035329
Langa International,85000000,Growth Equity,"Bpifrance, RGreen Invest, Swen Capital Partners",2024-01-19,https://langa-international.com/en/,Langa International is a company specializing in renewable energy solutions.,Millery,CleanTech,Energy,,833833866
Zama,73000000,Series A,"Protocol Labs, Gavin Wood, Juan Benet, Multicoin Capital, Anatoly Yakovenko, Vsquared Ventures, Tarun Chitra, Blockchange Ventures MetaPlanet, Stake Capital Portal Ventures",2024-03-15,https://zama.org/,Zama is a company providing innovative solutions in its industry.,Paris,Other,,,879243319
Comet Software,60000000,Series A,Otium Capital,2024-04-11,https://cometsoftware.fr,Comet Software is a company specializing in software solutions.,Paris,Other,,,982930026
