name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Quideos,Paris,AgriTech,startup,Pre-Seed,1000000,EUR,1103663,https://quideos.com/,Quideos is an agriculture based platform that ensures secured purchase and sale of agricultural raw materials.,Seed,"Clint Capital, Inovexus",2024-01-01,,,
EDAMAME Technologies,Châtenay-malabry,"SaaS & Enterprise, Cybersecurity",startup,Pre-Seed,500000,EUR,551831,https://www.edamame.tech,"SaaS, Endpoint Security, SDLC Security, DevTools",Seed,"Bpifrance, Dan Newman, Didier Perrot, Freddy Mallet, John Martin, Nicolas von Bülow, Olivier Edwards, Stephen Smoot, Vargha Moayed",2024-01-01,,,
Dowsers,Paris,Web3,startup,Pre-Seed,,,,https://www.dowsers.finance/,Automated Formal Verification of Smart Contracts,Seed,,2024-01-01,,,
OBEN,Paris,"FinTech, PropTech",startup,Pre-Seed,400000,USD,400000,https://www.weareoben.fr,OBEN is an home equity unlocking platform that transforms real estate into available savings to allow owners to finance all life projects.,Seed,Wefound,2024-01-01,,,
Paramedic,Paris,"HealthTech, Mobility & Transportation",startup,Pre-Seed,,,,https://paramedic.tech/,Paramedic is an ambulance company that provides medical transportation for patients to supports healthcare.,Seed,F6 Ventures,2024-01-01,,,
Versant,Paris,CleanTech,startup,Pre-Seed,,,,https://versant.earth/,Versant is an environmental analysis company that provides land identification for ecological compensation.,Seed,Antler,2024-01-01,,,
REasy,Clichy,"FinTech, SaaS & Enterprise",startup,Pre-Seed,,,,https://www.reasy.fr/,REasy is a B2B cross-border payments platform that eases financial transactions for African SMEs with the global suppliers and partners.,Seed,54 Collective,2024-01-01,,,
Neura Aether,Paris,MarTech,startup,Seed,1200000,USD,1200000,https://www.neura-aether.com,"Neura Aether is a dynamic company specializing in web development, website redesign, and multi-market lead generation.",Seed,,2024-01-01,,,
Optimcar,Fay-aux-loges,Mobility & Transportation,startup,Seed,411550,USD,411550,https://www.optimcar.fr,Optimcar is an automotive management software that offers administrative and vehicle stock management services.,Seed,Hexagone Automotive,2024-01-01,,,
Creative Lift,Paris,MarTech,startup,Seed,,,,https://creativelift.ai/,Creative Lift is a creative analytics platform that allows marketers to monitor global content utilization and enhance advertising content.,Seed,Wind,2024-01-01,,,
