name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
MokN,Paris,"Cybersecurity, AI",startup,Series A,15000000,USD,15000000,https://www.mokn.io/,"MokN is a cybersecurity company specializing in protection against credential theft. It uses unique 'phish-back' technology to trap attackers and recover compromised credentials, and is building a multi-product platform for Active Identity Recovery.",Series A,"GV (Google Ventures), Datadog, Moonfire, OVNI Capital",2026-05-01,980821474,,"Gautier Bugeon, Antoine Coudoux"
Opal,"Paris, New York City","AI, HealthTech",startup,Seed,10000000,USD,10000000,https://opalapp.com,"Opal develops an ""operating system for attention"" that helps users reduce digital distractions, improve focus, sleep, and wellbeing through AI-powered attention management tools and behavioral interventions.",Seed,"Adjacent, Speedinvest, Night Capital, Tony Fadell, Severin Hacker, Elad Gil, Mathilde Collin",2026-05-01,893034447,,Kenneth Schlenker
Olyzon,"Paris, New York City","MarTech, AI",startup,Series A,10000000,USD,10000000,https://olyzon.tv,"Olyzon develops an AI-powered agentic decisioning platform for Connected TV (CTV) advertising, helping brands and agencies automate media planning, activation, optimization, and measurement across fragmented CTV ecosystems.",Series A,"S4S Ventures, Eurazeo",2026-05-01,953836913,,Jules Minvielle
VorteX-io,Toulouse,"ClimateTech, DeepTech",startup,Series A,8500000,EUR,9239500,https://www.vortex-io.fr,"VorteX-io develops hydrological monitoring solutions that combine autonomous river measurement stations, remote control centers, and analytics platforms to help governments and public organizations manage water resources, anticipate climate risks, and strengthen territorial resilience.",Series A,"Seventure Partners, Banque des Territoires, Daphni",2026-05-01,850904202,,"Guillaume Valladeau, Jean-Christophe Poisson"
ThIA Santé Mentale,Montpellier,"HealthTech, AI",startup,Growth Equity,5000000,EUR,5435000,https://www.thiasantementale.fr/,"ThIA Santé Mentale develops coordinated psychiatric care solutions combining clinical protocols, digital tools, psychiatrists, and psychologists to improve access to mental healthcare and reduce treatment delays.",Growth Equity,"IRDI Capital Investissement, Sofilaro Innovation, Generali, AG2R La Mondiale",2026-05-01,914329677,,"Yann Quintilla, Frédérique Mozziconacci"
Certo,"Paris, San Francisco","AI, Compliance, SaaS",startup,Seed,3430000,USD,3430000,https://www.certo.ai,"Certo develops an AI-powered regulatory compliance platform for beauty and consumer goods companies, helping brands and retailers automate regulatory reviews, ingredient checks, labeling compliance, and market access across more than 40 global markets.",Seed,"Daphni, Entrepreneurs First, Motier Ventures, Transpose Platform",2026-05-01,992900886,,"Bastien Deliège-Coste, Jean Duquenne"
Otomato,Paris,"Web3, AI",startup,Seed,2000000,USD,2000000,https://www.otomato.xyz,"Otomato develops a portfolio-aware DeFi intelligence platform that monitors users' on-chain positions across multiple protocols and blockchains, providing real-time alerts on risks, costs, and opportunities.",Seed,Improbable,2026-05-01,,,"Clement Hecquet, Dylan Breugne"
MySunBed,Nice,"TravelTech, SaaS",startup,Seed,1600000,EUR,1739200,https://www.mysunbed.com,"MySunBed operates a marketplace for booking private beach sunbeds and provides management software for beach clubs and seaside establishments. The company positions itself as the ""Booking.com of private beaches.""",Seed,,2026-05-01,898434592,,"Sébastien Tomi, Brice Sorgia"
Leedflow,Nice,"PropTech, AI",startup,Seed,1500000,EUR,1630500,https://leedflow.com/,"Leedflow develops an AI-powered sales assistant that automates call summaries, CRM updates, contact records, and follow-up reminders for real estate professionals, helping agents improve lead management without changing their workflows.",Seed,"Édouard Le Goff, Vincent de Saint Sernin",2026-05-01,985354646,,Clément Réau
K-Ren,Mauguio,"CleanTech, DeepTech",startup,Seed,1200000,EUR,1304400,https://www.k-ren.fr,"K-Ren develops antifouling covers that keep boat hulls clean without the use of biocides, helping recreational boat owners reduce marine pollution while maintaining vessel performance.",Seed,"Sud Mer Invest, Frédéric Mazzella, Alexis Mulliez, Jean-Paul Costes, Jean-Marc Le Doussal, Sébastien Lacaze, Bpifrance, Banque Populaire du Sud, Caisse d'Epargne",2026-05-01,887627776,,"Lucie Doriez, Frédéric Planche"
Orakle Weather,Paris,"InsurTech, TravelTech",startup,Seed,550000,USD,550000,https://www.orakleweather.com,"Orakle Weather provides embedded weather insurance solutions for the tourism industry, automatically compensating customers when adverse weather conditions impact their travel or leisure experience.",Seed,,2026-05-01,979438967,,"Stella Jovet, Rym Ben Hassine"
Jinka,Paris,"PropTech, AI, SaaS",startup,Debt,1000000,EUR,1087000,https://www.jinka.fr,Jinka operates a real estate search platform that aggregates property listings and uses proprietary AI tools to help consumers find homes and assist real estate professionals with lead generation and performance optimization.,Debt,,2026-05-01,840936744,,Marc Lebel
LegalPlace,Paris,"LegalTech, FinTech, AI, SaaS",startup,Growth Equity,70000000,EUR,76090000,https://www.legalplace.fr,"LegalPlace provides digital tools and administrative services for entrepreneurs and SMEs, covering company formation, legal management, accounting, and business administration through an all-in-one platform.",Growth Equity,"XAnge, Eurazeo, Move Capital Fund I",2026-05-01,814428785,,"Racem Flazi, Mehdi Ouchallal, Samuel Goldstein"
Lithosquare,Paris,"ClimateTech, AI, DeepTech",startup,Seed,25000000,USD,25000000,https://www.lithosquare.com/,Lithosquare develops AI-powered mineral exploration technology designed to accelerate the discovery of critical raw material deposits by combining geological reasoning models with large-scale geoscience data analysis.,Seed,"World Fund, Kindred Capital, Daphni, Omnes Capital",2026-05-01,927888511,,"Ayméric Préveral-Etcheverry, Simon Leclair"
OpsMill,Paris,"SaaS, AI",startup,Series A,11900000,EUR,12935300,https://opsmill.com/,"OpsMill develops AI-ready infrastructure data management software that helps enterprises centralize, structure, and govern IT infrastructure data for automation and AI-driven operations. Its flagship platform, Infrahub, uses graph databases and version control to create a trusted system of record for complex IT environments.",Series A,"IRIS, BGV, Serena, Partech",2026-05-01,948875067,,"Damien Garros, Raphael Maunier"
Signadori Bio,Paris,BioTech,startup,Seed,11100000,EUR,12065700,https://www.signadoribio.com/,Signadori Bio is a preclinical-stage biotech developing an off-the-shelf in vivo engineered monocyte immunotherapy platform designed to treat solid tumors by reprogramming innate immune cells directly inside the body.,Seed,"Taiho Ventures, Sofinnova Partners, Invivo Partners",2026-05-01,928169697,,Selwyn Ho
Davis,Paris,"PropTech, AI",startup,Pre-Seed,4600000,EUR,5000200,https://meetdavis.com/,Davis is an AI-native real estate company accelerating early-stage real estate development and architectural design through proprietary generative AI models that produce architect-grade feasibility studies and building designs under real-world regulatory and financial constraints.,Pre-Seed,"Heartcore Capital, Balderton Capital, Yellow, Evantic, Entrepreneurs First",2026-05-01,994931996,,"Mehdi Rais, Amine Chraibi"
OneFlash,Paris,"Mobility, Energy",startup,Series A,3500000,EUR,3804500,https://www.oneflash.com,OneFlash operates a network of self-service portable battery charging stations that allow users to rent and return mobile power banks across high-traffic public locations.,Series A,Blast Club,2026-05-01,853831246,,Lucas Di Franco
Nelson,Paris,"Mobility, ClimateTech, SaaS",startup,Seed,3000000,EUR,3261000,https://nelson-mobility.com/,"NELSON develops a data-driven platform for enterprise fleet electrification, using simulation algorithms and digital twins to help companies optimize EV transition planning, charging infrastructure, operational costs, and fleet management.",Seed,"Asterion Ventures, La Poste Ventures, EIT Urban Mobility, Climate Club",2026-05-01,918697657,,"Alfred Richard, Inès Multrier, Julien Bou Abboud, Octave Locqueville"
Huelco,Moirans,"PropTech, ClimateTech, Hardware",startup,Seed,2500000,EUR,2717500,https://www.orioma.com/,"Huelco is a French deeptech group integrating semiconductor design, embedded software, and IoT technologies through its subsidiaries Orioma, Xdigit, and Steepulse. Its flagship product, LOBX, is an energy-autonomous IoT sensor for smart buildings powered by ambient light and designed to optimize energy efficiency and security.",Seed,"Financière de Sorlin, LVMA, Gestion Tourisme et Immobilier, Gacherey Holding, Bpifrance, Société Générale, BNP Paribas, Crédit Coopératif",2026-05-01,835393554,,Serdar Manakli
Objow,Lyon,SaaS,startup,Funding Round,2000000,EUR,2174000,https://objow.com,"Objow develops a performance animation and incentive platform designed to engage employees and partners at scale through gamified rewards, commitment tracking, and daily performance stimulation.",Funding Round,"Edenred Ventures, Crédit Agricole Création, HUB612 Caisse d'Epargne, Holnest, Aonia Ventures, Patrick Bertrand, Olivier Brourhant, Stéphane Assuid, Xavier Roussillon",2026-05-01,852715887,,"Jonathan Le Duc, Hadryen Chartier"
Kacentric Optics,Lannion,DeepTech,startup,Seed,1200000,EUR,1304400,https://www.kacentric.com/,"Kacentric Optics develops next-generation test and measurement equipment for the photonics industry, targeting applications such as photonic integrated circuits (PICs), spectroscopy, and quantum technologies.",Seed,Bpifrance,2026-05-01,879329555,,Michiel van der Keur
UroMems,Grenoble,"MedTech, Hardware",startup,Growth Equity,60000000,USD,60000000,https://www.uromems.com,"UroMems develops implantable mechatronic technologies for treating stress urinary incontinence, including UroActive®, a smart, automated artificial urinary sphincter powered by MEMS technology.",Growth Equity,Ajax Health Fund I,2026-05-01,533670931,,Hamid Lamraoui
