name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Alan,Paris,"InsurTech, Artificial Intelligence",startup,Growth Equity,480000000,EUR,521760000,https://alan.com,"Alan is an AI-native digital health and insurance platform that combines health insurance, prevention, healthcare services, and care navigation into a single experience for businesses, self-employed professionals, retirees, and individuals. The company uses AI to improve customer service, automate operations, and deliver personalized preventive healthcare.",Growth Equity,"Prosus, Teachers' Venture Growth, Index Ventures, Dara Holdings",2026-06-01,818353070,,"Jean-Charles Samuelian-Werve, Charles Gorintin"
Bionyra Pharma,Paris,"BioTech, HealthTech",startup,Series A,140000000,EUR,152180000,https://www.bionyrapharma.com,"Bionyra Pharma is a clinical-stage biotechnology company developing biologic therapies for immune-mediated inflammatory diseases, initially targeting severe atopic dermatitis (eczema) and inflammatory bowel diseases, including Crohn's disease and ulcerative colitis.",Series A,"Jeito Capital, Sofinnova Partners, Arkin Bio, Sanofi Ventures, Sixty Degree Capital, Vives Partners, Apollo Health Ventures",2026-06-01,990995334,,Frédéric Marrache
TISSIUM,Paris,"MedTech, BioTech",startup,Series D,30000000,EUR,32610000,https://www.tissium.com,"TISSIUM develops biomorphic polymer-based medical devices for tissue reconstruction and repair. Its platform enables sutureless tissue repair across multiple surgical applications, including peripheral nerve repair, hernia repair, and cardiovascular surgery.",Series D,,2026-06-01,793166299,,"Christophe Bancel, Maria Pereira"
Tsuga,Paris,"Artificial Intelligence, SaaS",startup,Series A,30000000,EUR,32610000,https://www.tsuga.ai,"Tsuga develops an AI-native observability platform that runs entirely within customers' cloud environments, enabling enterprises to monitor AI applications and cloud infrastructure without moving telemetry to third-party clouds. Its platform eliminates data duplication, reduces observability costs, and provides AI agents with access to complete, unsampled telemetry.",Series A,"Singular, General Catalyst, DST Global Partners, QuantumLight, Picus, Databricks Ventures",2026-06-01,985331073,,Gabriel-James Safar
AlpSemi,Grenoble,"Semiconductors, Artificial Intelligence, ClimateTech, DeepTech",startup,Seed,17000000,EUR,18479000,https://alpsemi.com,"AlpSemi develops next-generation semiconductor power switches for solid-state circuit breakers (SSCBs), enabling digitally controlled, software-defined electrical distribution for buildings, industrial systems, AI data centers, and electric mobility. Its vertically integrated platform spans materials, devices, and systems to improve the efficiency, safety, and intelligence of power infrastructure.",Seed,"Yotta Capital, SE Ventures, Navitas Semiconductor, Cycle Group",2026-06-01,984935965,,"Frédéric Dupont, Fabrice Letertre"
Flease,Lyon,"Mobility, Climate Tech, SaaS",startup,Series A,13000000,EUR,14131000,https://www.flease.fr,"Flease provides flexible B2B leasing and fleet management solutions for reconditioned vehicles. Its platform combines telematics and fleet management software to optimize vehicle usage, maintenance, and total cost of ownership while promoting the adoption of refurbished vehicles.",Series A,Partech,2026-06-01,834902314,,"Constantin Eliard, Vincent Dreyfus"
Wheere,Montpellier,"SpaceTech, DeepTech, Semiconductors",startup,Bridge,4200000,EUR,4565400,https://www.wheere.com,"Wheere develops next-generation positioning technology that enables precise indoor and outdoor localization using proprietary VHF radio signals capable of penetrating complex environments. The company aims to build a sovereign alternative for Positioning, Navigation, and Timing (PNT), ultimately extending its technology through a low Earth orbit satellite constellation and dedicated semiconductor chips.",Bridge,"Blast Club, Éric Larchevêque, Sofilaro",2026-06-01,890768344,,"Pierre-Arnaud Coquelin, Antoine Carrabin"
Linc,Paris,"SaaS, FinTech, Artificial Intelligence",startup,Seed,8500000,EUR,9239500,https://www.lincpay.io,"Linc develops AI-powered payroll software for accounting firms, helping them manage payroll more efficiently through modern workflows, real-time data access, and automation. The platform is designed specifically for payroll professionals, offering collaborative tools and deep regulatory coverage of the French payroll system.",Seed,"Headline, Resonance, Founders Future, Acadian Ventures, Adnexus, 50 Partners, Motier, 199 Ventures, Aonia, Better Angle, Clover",2026-06-01,928067941,,"Baptiste Le Bihan, Félix Wattez, Thomas de Priestere"
Sopht,Lyon,"ClimateTech, Artificial Intelligence",startup,Series A,5000000,EUR,5435000,https://www.sopht.com,"Sopht develops a software platform that helps enterprises optimize the cost, performance, and environmental footprint of their IT infrastructure. By consolidating data across cloud environments, datacenters, and end-user devices, the platform identifies cost-saving opportunities and recommends actions to improve both financial and environmental efficiency.",Series A,"Ternel, Axeleo Capital, Wind Capital, FDJ United Ventures",2026-06-01,908543580,,"Julien Rouzé, Jérémie Veg"
Blyyd,Lyon,"CleanTech, Mobility",startup,Growth Equity,5000000,EUR,5435000,https://blyyd.com,"Blyyd designs and manufactures 100% electric yard vehicles for logistics and industrial sites, enabling the movement of trailers while improving operational efficiency, safety, and reducing carbon emissions through electric propulsion, swappable batteries, and fleet management software.",Growth Equity,Meridiam,2026-06-01,,,Damien Gambey
