name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Skello,Paris,"HRTech, SaaS, Artificial Intelligence",startup,Growth Equity,150000000,EUR,163050000,https://www.skello.io,"Skello is an AI-powered workforce-management platform for frontline teams that helps businesses manage employee scheduling, administration, regulatory compliance and operational performance. Its Skello Assistant AI agent converts workforce data into tailored HR insights and automates follow-up actions.",Growth Equity,"Bridgepoint, Partech, XAnge",2026-07-06,820275956,,"Quitterie Mathelin-Moreaux, Emmanuelle Fauchier-Magnan"
Cyllene Therapeutics,Paris,BioTech,startup,Series C,33000000,EUR,35871000,https://www.cyllene-tx.com,Cyllene Therapeutics (formerly EG 427) is a clinical-stage biotechnology company developing precision DNA medicines for neurological and neuro-urological diseases. Its HERMES platform uses non-replicating HSV-1 vectors to deliver therapeutic DNA selectively to targeted neurons.,Series C,"GordonMD Global Investments, M Ventures, Andera Partners, Bpifrance, Lamond Ventures",2026-07-06,851225599,,Philippe Chambon
Gradium,"Paris, San Francisco",Artificial Intelligence,startup,Seed,26300000,EUR,28588100,https://gradium.ai,"Gradium is an AI infrastructure company developing foundational models for real-time voice applications, including streaming speech-to-text, expressive text-to-speech, speech-to-speech translation and conversational intelligence for developers and enterprises.",Seed,NVIDIA,2026-07-06,989284955,,"Neil Zeghidour, Laurent Mazaré, Olivier Teboul, Alexandre Défossez"
ZML,Paris,Artificial Intelligence,startup,Seed,20000000,USD,20000000,http://zml.ai/,"ZML is an AI infrastructure startup developing inference software that enables open-source large language models to run efficiently across multiple types of hardware, including Nvidia and AMD GPUs, Google TPUs, Apple Metal and Intel Arc chips.",Seed,"20VC, commit, AALVC, Drysdale Ventures, Kima Ventures, Kindred Capital, LocalGlobe, Puzzle Ventures, Solomon Hykes, Clément Delangue, Julien Chaumond, Yann LeCun",2026-07-06,981723638,,Steeve Morin
Bohr Energy,Toulouse,"Energy, Artificial Intelligence",startup,Series A,10000000,EUR,10870000,http://bohr-energie.fr/,"Bohr Energie is an independent energy aggregator that uses proprietary software, AI, forecasting and real-time optimization tools to help renewable energy producers manage and commercialize distributed solar, wind, hydro, battery and hybrid assets.",Series A,"Suma Capital, Irdi Capital Investissement, GSO Capital, Crédit Agricole, Varsity, Founders Future, AFI Ventures",2026-07-06,889663654,,"Julien Haure, Luis Urday, Julien Chollet, Jean-Pierre Mader"
Aria,Paris,FinTech,startup,Series A,7000000,EUR,7609000,https://www.aria.finance,"Aria provides embedded invoice financing infrastructure that enables B2B marketplaces, ERP platforms, and vertical SaaS providers to offer instant supplier payments while allowing buyers to retain standard payment terms.",Series A,"115K, 13books Capital, Nomura, Fost, Sienna, Montpensier Arbevel",2026-07-06,837680966,,Clément Carrier
Naaia,Paris,"Artificial Intelligence, SaaS",startup,Series A,6000000,EUR,6522000,https://naaia.ai/,"Naaia is a RegTech platform that helps organizations manage AI-related risks and automate compliance with regulations and standards, including the EU AI Act, ISO 42001 and the Cyber Resilience Act. Its text-to-action technology converts regulatory requirements into executable compliance tasks.",Series A,Ventech,2026-07-06,913352688,,"Nathalie Beslay, Benjamin May, Olivia Rime, Côme Sauzay"
Click&Care,Paris,HealthTech,startup,Seed,5000000,EUR,5435000,https://clickandcare.fr/,"Click&Care is a digital home-care network that connects families with locally recruited care professionals while managing recruitment, matching and administrative processes through its platform. Its model combines centralized human support with technology designed to improve caregiver pay, reduce travel time, and support independent living.",Seed,"SWEN Capital Partners, InvESS Île-de-France Développement, Banque des Territoires",2026-07-06,820048585,,Lina Bougrini
En Carta Diagnostics,Paris,"MedTech, DeepTech",startup,Seed,3000000,EUR,3261000,https://encartadiagnostics.com,En Carta Diagnostics develops rapid molecular diagnostic tests that combine laboratory-grade PCR accuracy with the simplicity of at-home testing. Its programmable aptamer-based platform is designed to detect infectious diseases in around 30 minutes without requiring laboratory infrastructure.,Seed,"Blue Forest Ventures, Ring Capital, CentraleSupélec Venture, 50 Partners Health, Bpifrance",2026-07-06,,,"Guillaume Horreard, Margot Karlikow"
Panora,Paris,"InsurTech, Artificial Intelligence",startup,Seed,4400000,EUR,4782800,https://www.panora.co,"Panora is an agentic AI platform for B2B insurance brokers that automates repetitive workflows, including multi-carrier quoting, document collection and generation, policy comparison, commission reconciliation and DDA compliance, while keeping brokers in control of advice and decision-making.",Seed,"ISAI, Kima Ventures, 100in, 199 Ventures",2026-07-06,,,"Diane du Paty, Fabian Langlet"
Rivage,Paris,"PropTech, Artificial Intelligence",startup,Seed,1500000,EUR,1630500,https://www.rivage.immo/,"Rivage is a property-management SaaS platform for real estate professionals that automates rental accounting, payment requests, bank reconciliation, regulatory administration and communication between landlords and tenants. Its platform also uses AI to help handle maintenance requests and recommend service providers.",Seed,Kima Ventures,2026-07-06,940386303,,Alex Chauvin
W Platform,Bordeaux,ClimateTech,startup,Seed,1000000,EUR,1087000,https://w-platform.fr/en/,"W Platform is a climate-tech company developing patented systems that capture, purify, compress and store CO2 produced during wine and beer fermentation, allowing vineyards and breweries to reuse it on-site for processes such as inerting, carbonation and dry-ice production.",Seed,"Vitirev Innovation, Demea Invest, Tudigo",2026-07-06,899623979,,Matthieu Planté
