id,full_name
4ca611ed-64c6-456c-af92-2927db0dd42f,"Abderhaman Nour Ebad, Hilal Tagaroun"
c0d40fa3-e0d3-4ae8-83d1-ddd77adcac85,Adrien Beata (Co-founder)
e27a254f-1f5c-4498-907d-91b9f6af8e9a,Adrien Mebarki (CTO)
81b55f02-acc1-4c93-8541-ae3ba89e8986,"Adrien Plat,"
f376bc97-6705-444b-af3f-5bc4084afa26,"Alex Haag (CEO, ex-Tesla Autopilot lead)"
921b8066-f095-44ca-a01e-5ec7e7b4e8b8,Alexandre Bocage and co-founders (three engineer cofounders)
bb9fdc58-a721-420e-9d23-8a1ddea5efc8,Alvaro Alonso Ruiz (CCO)
bcf7fa8c-7775-497c-967c-a7329276b82f,Anaïs Barut (CEO & cofounder)
4ae76167-60a3-4611-a738-7567dc176156,"Anne-Sybille Pradelles, Clément Salaün"
116cb7c7-5519-4a6c-a06e-ccfb583b29db,"Anouar Zbaida, Émilie Gazeau"
6402faef-dbfb-479a-9f04-665e1347c49a,"Antoine Coudert, Baptiste Bech"
7aca5bd3-2a22-4932-b33b-b73dadd24481,Antoine Loron (CEO)
d49773da-c461-4b81-aebc-03062ea6d97a,Antonin Bertin (CTO)
670d164d-6d79-4657-9607-bebe7527d15d,"Aurélien Couloumy, Loris Chiapparo"
eb4a6893-17b7-4371-8fc3-93f875aab96a,Aymeric Beaumet (CTO)
9d5aff25-7eb9-4ac5-a00a-aa91620f1b4f,Bastien Rambaud (CEO)
6cf92913-c9b0-41e8-b8f0-71e1c8f9c91b,Ben Dupont (CEO)
ad63d7fe-13af-4db3-a0e7-da26e0893ff5,Bénédicte Astier (Founder & CEO; former Quality Manager at bioMérieux).
e4022ba5-1066-47ae-8baf-c16c1d4bc1fd,Benjamin Saada (Founder & CEO)
fe94ed6c-5976-43ff-8937-dbd473657239,Benoît Bourre (Co-founder & CEO)
db03f00a-c733-427c-97e5-88ab0b14cf69,"Bertrand Thirion (CSO, ex-Inria Saclay)"
79126d02-528e-4b81-9c12-6335f13c9054,Carl Lauron (CEO & Founder)​
1686d23c-524f-42d0-9e8f-595b5654776f,Carlos Prada (CIO)
288ec763-84da-4466-932f-77951d2e3dae,"Carsten Dehning, and Pontifax Venture Capital"
d96832df-640e-473d-87ee-55931cb767f6,"Charles Desbaux (CTO, ex-Darktrace)"
5b3de1b5-e483-4652-a587-98fdee4e33cc,"Charles Maussion, and Alexis Thual"
a82a2fdb-fe36-4ba6-91a4-5dd90737cc74,Charles Montmaneix (Co-Founder & General Manager)
d2f41e1f-913b-4ae8-9289-01e4225bc031,Charles Pommarede (French founder); Ahmed Omrane joined later as associate CTO
66d71650-b193-45d8-9faa-6bc4f4520761,"Charlotte Dupont, Samuel Dupont"
2ff2ce83-f46e-4266-989f-b772c805637b,"Christophe Barre, Manuel Darcemont"
cf53f8b9-e93b-481e-a191-c72153657761,Clara Gold (Founder & CEO)
61b9093e-cc01-4a2b-89d6-b549daf1bcdc,"Clara Stephenson, Mael Mertad"
6cf03a3b-e67c-45d4-9d28-4139778d2170,Clément Baron (CTO)
80c35923-bba0-4171-99d9-3d88d8dbdfcd,"Clotilde Humbert,"
bf2adc05-9d9f-413b-9496-cca32be888ef,Cyprien Boutard Geze (CEO & Co-founder)
be1098a3-4ec1-42d1-a894-e7e398d448d1,Damien Fauvet (Founder & CEO)
2dbf6c77-3768-4d4c-bde2-b98890e78e4a,Daniel Nef (CEO)
b5e8b6df-8f6c-4e57-88d8-9b2c2d2b913c,Danièle Bensoussan (Co-founder)
aae5b01e-63e1-4b86-8162-4a13a35a8033,Delphine Henry (Co-founder & CEO)
98360d5f-d419-4f1a-9be4-dbb7b8d0634c,"Dimitri Pontif (Founder & CEO, ex-professional athlete and real estate entrepreneur)"
9a64a42e-54be-4072-96d6-cb853891d037,Dr. David Luu (Co-founder)
c694e87b-71a5-4f4b-9f1f-db5e3c461a26,Dr. Francesco Manegatti (CEO)
bc6a8173-5bdd-43ff-a85c-cc9eb4baf4a8,Dr. Patrick Dendorfer (CTO)
ddb2393b-2465-41d9-81a9-c6427c4aa4f4,Dr. Pierre-Emmanuel Gerard (Founding President & CEO); Dr. Simon Plyte (CSO)
c762e4de-30de-4f6f-9d05-bfd123a75b45,Dr. Thierry Ziegler (CTO)
759dde56-3d93-41a8-af3e-44a9f5717ed9,Elie Dufeu (CTO)
dad4b249-6a9f-4bee-8205-748f53c3e69e,Elie Lobel (CEO)
cfee338e-6b78-4308-bfff-e26ab2090465,"Eliud Kipchoge, and the NN Running Team"
9aee954d-86a4-4e25-938e-c1c912a79e5a,Eric Schettini (plus scientific leadership via Aziz Moqrich)
861af0fe-21f4-4362-80bf-86ae5358185e,Félix Balmonet (CEO)
b54153cd-c3ce-4785-a2b0-7fa92e1ae072,Flavien Marianacci (CTO)
4ce8cf8f-c273-4d2b-b0c5-69d986b95785,"François Cluzeau, Guilhem Chaumont, Paul Bugnot, Balthazar Giraux"
54cd3156-448a-48c0-b03e-2a809a1acf6f,"François Giuliano, Philippe Chambon"
78cb1c9f-993a-44d8-9113-87ebf76dd545,Frédéric Zampatti (President & Co-founder) + team (others not specified)
e950f9e9-a463-46fe-8a0b-1ba5daed931e,French Treasury markets; CEO); Antoine Michon (ex‑digital transformation advisor to French government; COO)
62b58875-4bd1-4447-9fb0-0c9b4be7d279,"Gabriel-James Safar, Sébastien Deprez"
d15add99-1134-4109-b4ee-256fafbb9792,Gaëlle Guyader (CEO) and Céline Largeau (CTO)
49781cc9-1eaf-4eab-922f-a861dff301c5,"Gaëlle Richard, Lucas Vançon"
7180aeb5-850a-4e79-8dc9-2173b90a093a,Gautier Bugeon (Co-founder & CEO)
12dce1d3-d681-4ac2-bdca-c14393d8ed07,"Germain Bourgeois, and Bryce Jones"
04535a65-65d0-487d-8765-1057355110ad,Gilles Castéran and Francis Grégoire
bc01e567-cc1b-4de0-949f-cc4dda635ed8,Guillaume Tanier (CEO)
7cbc8a78-1bc6-410a-b400-ba7c5d68c4af,Hani Sherry (CEO)
8ee4b161-2cb1-44dd-995d-4b5842a602a1,Harry Kemble (CTO)
8b7d43e9-c842-4121-a68c-ab9946fd8f6d,Hassan Bouchiba (CEO)
bd9b27c8-ed4c-42cf-ba1c-364c3b649691,Hélène Blonz (Growth)
9884c47c-021b-4314-adde-4ffe50703e6a,Héloïse Rozès (CEO)
d9d57c9b-7b7d-4811-adcb-dc06522a1e8b,Hervé Affagard (CEO & Co-founder)
9d632021-9659-4a6a-ac49-0c292f582b95,"https://www.linkedin.com/in/ACoAAAABkb0BUb6Q4z4p8eleAFkzZ834guyk3WwSébastien de Lafond (https://www.linkedin.com/in/sdelafond/), https://www.linkedin.com/in/ACoAAAAOzXEB2o6o-1WtE82xgyci26v0y6U6E9IJulien Cheyssial (https://www.linkedin.com/in/juliencheyssial/), https://www.linkedin.com/in/ACoAAABINLgBysN92o2UlwIA7DgDLzCZZ4uGC9cJordan Sanial (https://www.linkedin.com/in/jordan-sanial/), https://www.linkedin.com/in/ACoAACDtzpQB-3PVBDsGly5x0_mx_73vAKM9jUwValentine Mandon"
